"Trends in death rates, 1930-2018",,,,,,,,,,,,,,,,,,,,,,
"Per 100,000, age adjusted to the 2000 US standard population.",,,,,,,,,,,,,,,,,,,,,,
YOU HAVE DOWNLOADED THE FULL DATA SET FOR THIS METRIC. THERE ARE MULTIPLE TABS OF DATA IN THIS FILE.,,,,,,,,,,,,,,,,,,,,,,
"Data source: National Center for Health Statistics (NCHS), Centers for Disease Control and Prevention, 2020",,,,,,,,,,,,,,,,,,,,,,
"© Copyright American Cancer Society, 2018",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Year,All cancer types combined / Female,All cancer types combined / Male,Breast / Female,Breast / Male,Colorectum / Female,Colorectum / Male,Leukemia / Female,Leukemia / Male,Liver and intrahepatic bile duct / Female,Liver and intrahepatic bile duct / Male,Lung and bronchus / Female,Lung and bronchus / Male,Ovary / Female,Ovary / Male,Pancreas / Female,Pancreas / Male,Prostate / Female,Prostate / Male,Stomach / Female,Stomach / Male,Uterus (cervix and corpus combined) / Female,Uterus (cervix and corpus combined) / Male
1997,169,258.1,28.2,n/a,"18.3 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","26.8 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",5.9,10.4,"4.4 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","7.8 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","40.8 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","81.8 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","9.1 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,9.1,12.2,n/a,34.2,3.4,7.2,"7.1 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1998,166.9,253.6,27.5,n/a,"18.2 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","26.1 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",5.8,10.1,"4.3 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","8 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","41 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","80.3 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","8.9 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,9.2,12.3,n/a,32.6,3.4,6.8,"7.1 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1999,167.2,252.8,26.6,n/a,"17.9 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","26 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6,10.2,"4.4 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","7.7 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","40.2 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","77.3 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","9 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,9.3,12.3,n/a,31.6,3.3,6.6,"6.9 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
2000,166.7,248.5,26.6,n/a,"17.7 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","25.5 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",5.9,10.3,"4.3 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","8 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","41.1 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","76.8 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","9.1 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,9.3,12.1,n/a,30.4,3.2,6.4,"6.9 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
2001,164.6,245.1,26,n/a,"17.3 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","24.8 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",5.9,10.2,"4.4 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","8.1 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","41 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","75.7 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","9.3 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,9.3,12.2,n/a,29.5,3.1,6.1,"6.9 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
2002,163.4,241.6,25.6,n/a,"16.8 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","24.4 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",5.7,10.2,"4.3 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","8.3 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","41.6 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","74 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","9.3 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,9.2,12.2,n/a,28.7,3,6,"6.7 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
2003,161.2,235.8,25.3,n/a,"16.4 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","23.6 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",5.6,10,"4.4 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","8.5 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","41.3 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","72.3 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","9.1 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,9.3,12.1,n/a,27.2,3,5.7,"6.6 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
2004,157.9,230.3,24.5,n/a,"15.6 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","22.3 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",5.5,9.8,"4.5 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","8.5 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","41 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","70.7 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","8.9 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,9.3,12.4,n/a,26.2,2.9,5.6,"6.6 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
2005,156.5,228.1,24.1,n/a,"15 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","21.7 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",5.5,9.8,"4.5 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","8.8 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","40.7 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","69.7 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","8.8 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,9.5,12.4,n/a,25.4,2.7,5.3,"6.5 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
2006,154.6,222.6,23.6,n/a,"15 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","21.1 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",5.5,9.7,"4.5 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","8.7 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","40.3 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","67.6 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","8.8 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,9.6,12.4,n/a,24.2,2.7,5.1,"6.7 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
2007,152,219.3,23,n/a,"14.6 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","20.7 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",5.3,9.5,"4.4 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","8.9 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","40.1 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","65.4 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","8.5 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,9.5,12.6,n/a,24.2,2.6,5,"6.6 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
2008,149.3,215.3,22.6,n/a,"14.2 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","20.1 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",5.3,9.5,"4.4 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","9.3 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","39.1 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","63.9 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","8.2 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,9.7,12.5,n/a,23,2.5,4.9,"6.6 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
2009,147.1,211.2,22.2,n/a,"13.6 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","19.5 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",5.3,9.5,"4.5 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","9.6 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","38.6 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","61.7 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","8.1 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,9.5,12.4,n/a,22.1,2.5,4.7,"6.5 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
2010,145.7,208.8,21.9,n/a,"13.3 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","19.2 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",5.2,9.3,"4.7 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","9.7 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","37.9 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","60.3 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","8.1 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,9.6,12.7,n/a,21.8,2.5,4.6,"6.7 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
2011,143.5,204.4,21.6,n/a,"13.1 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","18.5 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",5.2,9.3,"4.8 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","10 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","37 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","58.1 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","7.8 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,9.5,12.5,n/a,20.8,2.4,4.4,"6.8 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
2012,141.9,200.7,21.3,n/a,"12.7 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","18.1 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",5.1,9.2,"4.9 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","10.3 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","36.4 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","56.4 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","7.7 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,9.6,12.7,n/a,19.6,2.4,4.3,"6.8 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
2013,139.3,196.6,20.8,n/a,"12.4 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","17.8 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",5,9.1,"5 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","10.5 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","35.5 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","54.2 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","7.5 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,9.5,12.4,n/a,19.3,2.3,4.3,"7 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
2014,138,193.7,20.6,n/a,"12.2 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","17.3 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",5,8.8,"5.1 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","10.4 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","34.8 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","52.2 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","7.4 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,9.5,12.6,n/a,19.1,2.3,4.2,"7 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
2015,136,190.2,20.3,n/a,"12.1 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","17.1 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",4.6,8.5,"5.1 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","10.6 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","33.6 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","50.1 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","7.1 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,9.6,12.7,n/a,19,2.3,4.1,"7.1 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
2016,134.1,186.1,20.1,n/a,"11.9 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","16.8 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",4.8,8.3,"5.2 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","10.7 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","32 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","47.2 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","7.2 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,9.7,12.7,n/a,19.4,2.2,4,"7.3 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
2017,131.3,181.6,19.9,n/a,"11.7 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","16.5 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",4.6,8.2,"5.1 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","10.7 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","30.6 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","44.7 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","7 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,9.6,12.9,n/a,18.9,2.1,3.9,"7.3 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
2018,128.4,177.1,19.7,n/a,"11.3 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","16.3 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",4.5,8.1,"5.2 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","10.6 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","29.3 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","42.1 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","6.7 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,9.6,12.7,n/a,18.9,2.1,3.7,"7.2 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
